Restaurant Name,Last_Order,Recency_Days,Frequency,Monetary,Avg_Order_Value,Avg_Rating,R_Score,F_Score,M_Score,RFM_Score,RFM_Code,RFM_Segment
A2B - Adyar Ananda Bhavan,2025-08-31,1,260,60493.24,232.6663076923077,4.366538461538461,5,5,5,15,555,Champions
Laxmi Pure Veg,2025-08-31,1,226,59800.0,264.60176991150445,4.267256637168141,5,5,5,15,555,Champions
MP's Kitchen,2025-08-31,1,225,59069.0,262.5288888888889,4.299555555555556,5,5,5,15,555,Champions
Grameen Kulfi,2025-08-31,1,408,59046.65,144.72218137254902,4.666911764705882,5,5,5,15,555,Champions
Vadilal Ice Creams,2025-08-31,1,299,57806.45,193.33260869565217,4.5254180602006695,5,5,5,15,555,Champions
New Chanakya,2025-08-31,1,232,57717.0,248.7801724137931,4.241810344827586,5,5,5,15,555,Champions
Bombay Mishthan Bhandar (Bmb) - Sanganeeri Gate,2025-08-31,1,194,57077.0,294.2113402061856,4.390206185567011,5,5,5,15,555,Champions
Polar Bear,2025-08-31,1,241,55218.44,229.12215767634856,4.56390041493776,5,5,5,15,555,Champions
Ice & Spice,2025-08-31,1,237,54151.0,228.48523206751054,4.393670886075951,5,5,5,15,555,Champions
hotel Toshali,2025-08-31,1,253,51696.0,204.3320158102767,4.3007905138339915,5,5,5,15,555,Champions
The Phoenix Residency,2025-08-31,1,186,51486.0,276.80645161290323,4.237634408602151,5,5,5,15,555,Champions
The Prashadam,2025-08-31,1,206,50386.8,244.5961165048544,4.359223300970874,5,5,5,15,555,Champions
Cafe Sanaya,2025-08-31,1,228,48671.0,213.46929824561403,4.3995614035087725,5,5,5,15,555,Champions
Priya Restaurant,2025-08-31,1,230,48219.0,209.6478260869565,4.306956521739131,5,5,5,15,555,Champions
Cheesecakes By CakeZone,2025-08-31,1,199,47491.0,238.64824120603015,4.281909547738693,5,5,5,15,555,Champions
Kanji Sweets & Restaurant,2025-08-31,1,223,44099.5,197.7556053811659,4.302690582959642,5,5,5,15,555,Champions
Gopal's,2025-08-31,1,227,43648.0,192.28193832599118,4.295594713656388,5,5,5,15,555,Champions
New Blue Moon,2025-08-31,1,184,43435.0,236.05978260869566,4.248369565217391,5,5,5,15,555,Champions
Viggis,2025-08-30,2,360,132295.0,367.4861111111111,4.430555555555555,4,5,5,14,455,Champions
Hotel Polo Towers,2025-08-30,2,264,130189.0,493.1401515151515,4.339015151515151,4,5,5,14,455,Champions
Goila Butter Chicken,2025-08-30,2,347,113440.0,326.9164265129683,4.187608069164265,4,5,5,14,455,Champions
Mr. Brown - Danbro,2025-08-31,1,105,100218.53,954.4621904761905,4.445714285714286,5,4,5,14,545,Champions
Biryani By Kilo,2025-08-30,2,270,97480.2,361.03777777777776,4.325925925925926,4,5,5,14,455,Champions
Mahalaxmi Sweets & Restaurant,2025-08-30,2,340,94324.0,277.4235294117647,4.429117647058824,4,5,5,14,455,Champions
Chetak Sweet Point,2025-08-30,2,216,90357.0,418.31944444444446,4.524537037037037,4,5,5,14,455,Champions
Bombay Misthan Bhandar,2025-08-30,2,287,90141.55,314.0820557491289,4.441463414634146,4,5,5,14,455,Champions
Lamee,2025-08-30,2,249,88853.0,356.83935742971886,4.381526104417671,4,5,5,14,455,Champions
Momo Magic Cafe,2025-08-30,2,364,88718.0,243.73076923076923,4.2821428571428575,4,5,5,14,455,Champions
Urban Tadka,2025-08-30,2,210,82700.0,393.8095238095238,4.398095238095238,4,5,5,14,455,Champions
Tossin Pizza,2025-08-31,1,158,78308.0,495.62025316455697,4.70759493670886,5,4,5,14,545,Champions
Gwalia Sweets & Fast Food,2025-08-30,2,330,78023.0,236.43333333333334,4.501515151515152,4,5,5,14,455,Champions
Paakashala,2025-08-30,2,401,77675.05,193.70336658354117,4.266832917705735,4,5,5,14,455,Champions
Hotel Heiga,2025-08-30,2,197,76776.0,389.7258883248731,4.387309644670051,4,5,5,14,455,Champions
Amritsari Restaurant Katora Talab,2025-08-30,2,286,75508.54,264.0158741258741,4.3388111888111895,4,5,5,14,455,Champions
Faasos Signature Wraps & Rolls,2025-08-30,2,294,72672.0,247.18367346938774,4.3309523809523816,4,5,5,14,455,Champions
Kingdom of Momos,2025-08-30,2,225,69144.0,307.3066666666667,4.372,4,5,5,14,455,Champions
Central Perk,2025-08-30,2,255,67393.0,264.28627450980395,4.395686274509805,4,5,5,14,455,Champions
Shaan Sweets And Snacks,2025-08-30,2,303,65058.0,214.7128712871287,4.361716171617162,4,5,5,14,455,Champions
Roastery Coffee House,2025-08-31,1,137,61331.97,447.67861313868616,4.456934306569344,5,4,5,14,545,Champions
Haveli Dhaba,2025-08-30,2,214,60155.0,281.0981308411215,4.40373831775701,4,5,5,14,455,Champions
ITC Sunfeast Baked Creations,2025-08-31,1,118,59222.0,501.8813559322034,4.500847457627119,5,4,5,14,545,Champions
Matkawala,2025-08-30,2,229,57005.0,248.9301310043668,4.0689956331877735,4,5,5,14,455,Champions
Bombay Mishthan Bhandar (Bmb) - Durapura,2025-08-30,2,242,54361.0,224.63223140495867,4.54504132231405,4,5,5,14,455,Champions
Rupar Tori Hotel & Restaurant,2025-08-30,2,214,54358.0,254.00934579439252,4.38177570093458,4,5,5,14,455,Champions
Pandit Ji Sweets & Restaurant Dairy,2025-08-30,2,259,53504.0,206.5791505791506,4.188030888030888,4,5,5,14,455,Champions
Delights by INOX,2025-08-31,1,166,53478.03,322.1568072289157,4.360240963855422,5,4,5,14,545,Champions
The Fisherman's Wharf,2025-08-31,1,124,53010.0,427.5,4.293548387096774,5,4,5,14,545,Champions
Kite Restaurant,2025-08-30,2,214,51426.2,240.3093457943925,4.4,4,5,5,14,455,Champions
7Th Heaven,2025-08-31,1,139,47250.0,339.9280575539568,4.217985611510792,5,4,5,14,545,Champions
Gokul Oottupura,2025-08-30,2,326,47243.0,144.91717791411043,4.57760736196319,4,5,5,14,455,Champions
Crusto's - Cheese Burst Pizza By Olio,2025-08-31,1,119,47019.0,395.11764705882354,4.311764705882353,5,4,5,14,545,Champions
Tara Bhojanalya,2025-08-31,1,174,46453.0,266.9712643678161,4.344252873563219,5,4,5,14,545,Champions
"WeFit - Protein Bowls, Salads & Sandwiches",2025-08-31,1,178,45925.0,258.0056179775281,4.508988764044944,5,4,5,14,545,Champions
Wow! Chicken By Wow! Momo,2025-08-30,2,200,45605.8,228.02900000000002,4.291,4,5,5,14,455,Champions
Popeyes,2025-08-31,1,113,44003.93,389.4153097345133,4.389380530973451,5,4,5,14,545,Champions
Munchies,2025-08-31,1,153,43264.0,282.7712418300654,4.04640522875817,5,4,5,14,545,Champions
Shiv Sagar,2025-08-31,1,243,42987.0,176.90123456790124,4.511522633744856,5,5,4,14,554,Champions
Bhavyam Veg,2025-08-31,1,258,42562.14,164.96953488372094,4.521705426356589,5,5,4,14,554,Champions
Saffron,2025-08-31,1,205,41979.0,204.77560975609757,4.342439024390244,5,5,4,14,554,Champions
Bawarchi Fast Food,2025-08-31,1,180,41173.0,228.73888888888888,4.151666666666666,5,5,4,14,554,Champions
Mr Bhatura,2025-08-31,1,235,40183.0,170.99148936170212,4.367659574468085,5,5,4,14,554,Champions
Food Lovers Restaurant,2025-08-31,1,193,40130.0,207.92746113989637,3.8715025906735754,5,5,4,14,554,Champions
Ramdev's Khana Khazana,2025-08-31,1,228,38855.0,170.41666666666666,4.192982456140351,5,5,4,14,554,Champions
Ratna Cafe (Estd.1948),2025-08-31,1,221,38746.0,175.3212669683258,4.378280542986426,5,5,4,14,554,Champions
Shree Agarwal Caterers,2025-08-31,1,266,38337.5,144.12593984962405,4.45,5,5,4,14,554,Champions
SRIVARI BHIMMAS,2025-08-31,1,180,38006.0,211.14444444444445,4.296666666666667,5,5,4,14,554,Champions
The Great Indian Kitchen,2025-08-31,1,202,37270.0,184.5049504950495,4.232673267326732,5,5,4,14,554,Champions
Srinidhi Sagar Deluxe,2025-08-31,1,234,37151.0,158.76495726495727,4.141880341880342,5,5,4,14,554,Champions
Wooden Spoon Restaurant,2025-08-31,1,181,37064.0,204.77348066298342,4.395580110497238,5,5,4,14,554,Champions
Red Chilly's - Spirits N Spices,2025-08-31,1,193,33090.0,171.45077720207254,4.375129533678757,5,5,4,14,554,Champions
Simla Chat,2025-08-31,1,210,30776.0,146.55238095238096,3.955238095238095,5,5,4,14,554,Champions
Hot Breads,2025-08-31,1,190,27936.48,147.0341052631579,4.606842105263158,5,5,4,14,554,Champions
Arusuvai Cafe,2025-08-31,1,187,27698.8,148.12192513368984,4.3545454545454545,5,5,4,14,554,Champions
House of Idlies,2025-08-31,1,183,25656.5,140.19945355191257,4.419672131147541,5,5,4,14,554,Champions
Udupi Grand,2025-08-31,1,179,25390.0,141.84357541899442,4.19050279329609,5,5,4,14,554,Champions
Hotel Annalakshmi,2025-08-31,1,186,25152.0,135.2258064516129,4.476344086021506,5,5,4,14,554,Champions
Madhu's Kitchen,2025-08-31,1,186,24801.0,133.33870967741936,4.36236559139785,5,5,4,14,554,Champions
Jugaad Jn,2025-08-31,1,199,24243.0,121.82412060301507,4.392462311557789,5,5,4,14,554,Champions
Labonel Fine Baking,2025-08-30,2,154,272780.0,1771.2987012987012,4.513636363636364,4,4,5,13,445,Champions
Dejavu,2025-08-29,3,356,143846.4,404.0629213483146,4.453370786516854,3,5,5,13,355,Loyal Partners
KAVERI's,2025-08-29,3,304,95812.0,315.17105263157896,4.308881578947369,3,5,5,13,355,Loyal Partners
Eden Restaurant,2025-08-29,3,274,86442.0,315.48175182481754,4.422262773722628,3,5,5,13,355,Loyal Partners
The Brew Estate,2025-08-30,2,170,81535.0,479.61764705882354,4.416470588235295,4,4,5,13,445,Champions
Third Wave Coffee,2025-08-29,3,230,72804.4,316.54086956521735,4.446086956521739,3,5,5,13,355,Loyal Partners
MOJO Pizza - 2X Toppings,2025-08-29,3,200,71136.0,355.68,4.435,3,5,5,13,355,Loyal Partners
Gourmet Ice Cream Cakes by Baskin Robbins,2025-08-30,2,130,70963.31,545.8716153846153,4.404615384615385,4,4,5,13,445,Champions
Cafe Cotinga,2025-08-30,2,146,70956.0,486.0,4.48013698630137,4,4,5,13,445,Champions
New Shakti Sweets,2025-08-30,2,112,70439.0,628.9196428571429,4.3375,4,4,5,13,445,Champions
Jamie Oliver's Pizzeria,2025-08-31,1,93,67619.0,727.0860215053764,4.329032258064516,5,3,5,13,535,Big Spenders
Poetry By Love & Cheesecake,2025-08-30,2,170,66372.0,390.4235294117647,4.415882352941177,4,4,5,13,445,Champions
PizzaExpress,2025-08-30,2,148,63216.2,427.1364864864865,4.232432432432432,4,4,5,13,445,Champions
Zaatar Arabic Restaurant,2025-08-29,3,193,59262.0,307.05699481865287,4.369430051813472,3,5,5,13,355,Loyal Partners
KS Bakers,2025-08-31,1,91,56238.95,618.0104395604395,4.208791208791209,5,3,5,13,535,Big Spenders
Mughlai Restaurant,2025-08-29,3,206,52007.0,252.46116504854368,4.0689320388349515,3,5,5,13,355,Loyal Partners
Pop Seoul,2025-08-30,2,137,51829.0,378.3138686131387,4.393430656934307,4,4,5,13,445,Champions
Sethi Tikka Kabab Curry,2025-08-30,2,128,51490.0,402.265625,4.24453125,4,4,5,13,445,Champions
Mealful Rolls - India's Biggest Rolls,2025-08-29,3,230,50275.0,218.58695652173913,4.343913043478261,3,5,5,13,355,Loyal Partners
Harish Bakery,2025-08-29,3,291,50244.64,172.66199312714775,4.314776632302405,3,5,5,13,355,Loyal Partners
Grits N Gravy,2025-08-29,3,273,48486.0,177.6043956043956,4.164468864468865,3,5,5,13,355,Loyal Partners
Jashn The Restaurant,2025-08-30,2,178,48477.0,272.3426966292135,4.269101123595505,4,4,5,13,445,Champions
Sante Spa Cuisine,2025-08-30,2,132,46460.0,351.969696969697,4.429545454545455,4,4,5,13,445,Champions
Kori's,2025-08-30,2,109,44947.0,412.35779816513764,4.460550458715597,4,4,5,13,445,Champions
Wood Street Cafe,2025-08-30,2,129,44260.0,343.1007751937984,4.455038759689923,4,4,5,13,445,Champions
Crescent International Hotel,2025-08-30,2,171,44001.0,257.3157894736842,4.249122807017544,4,4,5,13,445,Champions
Gokul Dham Ka Dhaba,2025-08-30,2,170,43722.0,257.18823529411765,4.403529411764706,4,4,5,13,445,Champions
BIZZA Cafe Heritage,2025-08-31,1,146,43160.0,295.6164383561644,4.13972602739726,5,4,4,13,544,Champions
Gangaur Govindam,2025-08-30,2,213,41370.0,194.22535211267606,4.4474178403755875,4,5,4,13,454,Champions
Dawat-E-Khas Restaurant,2025-08-31,1,149,41104.0,275.86577181208054,4.120134228187919,5,4,4,13,544,Champions
Roti Tarka,2025-08-31,1,147,40711.0,276.94557823129253,4.338095238095239,5,4,4,13,544,Champions
Gangaur Next,2025-08-31,1,160,40431.0,252.69375,4.3275,5,4,4,13,544,Champions
Books & Bricks Cafe,2025-08-31,1,112,40030.0,357.4107142857143,4.335714285714286,5,4,4,13,544,Champions
Saudagar,2025-08-31,1,151,40015.0,265.0,4.402649006622517,5,4,4,13,544,Champions
Haldiram's Sweets and Namkeen,2025-08-30,2,233,39917.96,171.3217167381974,4.42961373390558,4,5,4,13,454,Champions
Shivansh fast food and restaurant,2025-08-30,2,196,39506.0,201.5612244897959,4.311734693877551,4,5,4,13,454,Champions
Ghar ka Khana by EatFit,2025-08-31,1,143,38803.0,271.34965034965035,4.2853146853146855,5,4,4,13,544,Champions
Rominus Pizza and Burger,2025-08-30,2,181,38312.05,211.66878453038674,4.204972375690608,4,5,4,13,454,Champions
City Nation Cafe,2025-08-30,2,181,37324.0,206.20994475138122,4.4,4,5,4,13,454,Champions
The Bon Bon Bakers,2025-08-31,1,114,37308.0,327.2631578947368,4.471052631578948,5,4,4,13,544,Champions
Scholars,2025-08-31,1,160,37030.0,231.4375,4.3012500000000005,5,4,4,13,544,Champions
Steamin Mugs Cafe & Restaurant,2025-08-31,1,155,36995.0,238.67741935483872,4.312258064516129,5,4,4,13,544,Champions
Oriental Restaurant,2025-08-31,1,161,36934.75,229.4083850931677,4.2931677018633545,5,4,4,13,544,Champions
Auckland Hotel And Restaurant,2025-08-31,1,156,36756.0,235.6153846153846,4.287179487179488,5,4,4,13,544,Champions
Laduram Nanagram Mawawala,2025-08-30,2,244,36699.1,150.4061475409836,4.443032786885246,4,5,4,13,454,Champions
Gurukripa Restaurant - Sarwate,2025-08-31,1,170,36479.0,214.58235294117648,4.2564705882352944,5,4,4,13,544,Champions
Chopstyx,2025-08-31,1,138,36136.0,261.8550724637681,4.45072463768116,5,4,4,13,544,Champions
Royal The City Club Restaurant,2025-08-31,1,157,35346.0,225.13375796178343,4.4,5,4,4,13,544,Champions
Homely,2025-08-31,1,177,34814.0,196.68926553672316,4.254237288135593,5,4,4,13,544,Champions
Ganguram,2025-08-31,1,124,34425.0,277.6209677419355,4.541935483870968,5,4,4,13,544,Champions
Bawarchi - The Royal Chef,2025-08-31,1,116,34045.0,293.4913793103448,4.331896551724138,5,4,4,13,544,Champions
6 Ballygunge Place Takeaway,2025-08-31,1,169,33570.0,198.63905325443787,4.549112426035503,5,4,4,13,544,Champions
Palaaram,2025-08-31,1,109,33241.54,304.968256880734,4.524770642201835,5,4,4,13,544,Champions
Gopal Mistanna Bhandar,2025-08-30,2,238,33078.0,138.98319327731093,4.3726890756302526,4,5,4,13,454,Champions
Fast Pizza,2025-08-31,1,105,32959.5,313.9,4.304761904761905,5,4,4,13,544,Champions
Quick Bites,2025-08-30,2,194,32820.0,169.17525773195877,4.328865979381444,4,5,4,13,454,Champions
Nandhana Palace,2025-08-31,1,131,32699.09,249.61137404580154,4.458015267175573,5,4,4,13,544,Champions
Veer Ji Malai Chaap Wale,2025-08-31,1,150,32632.0,217.54666666666665,4.301333333333334,5,4,4,13,544,Champions
Mikado Restaurant,2025-08-31,1,107,32125.0,300.23364485981307,4.057943925233645,5,4,4,13,544,Champions
Mayur Hotel & Restaurant,2025-08-31,1,177,32019.0,180.89830508474577,4.364406779661017,5,4,4,13,544,Champions
DragonWok Restaurant,2025-08-31,1,162,32015.0,197.62345679012347,4.438888888888889,5,4,4,13,544,Champions
Apna Vaishno Dhaba,2025-08-31,1,150,30607.0,204.04666666666665,4.198,5,4,4,13,544,Champions
Gita Samosa Centre,2025-08-30,2,205,30065.0,146.65853658536585,4.400975609756098,4,5,4,13,454,Champions
Habitat Restaurant,2025-08-31,1,124,29090.0,234.59677419354838,4.25241935483871,5,4,4,13,544,Champions
Sri Ganga veg restaurant,2025-08-31,1,165,28980.0,175.63636363636363,4.405454545454545,5,4,4,13,544,Champions
Daya Hari Mithai,2025-08-30,2,227,27074.0,119.26872246696036,4.453744493392071,4,5,4,13,454,Champions
Mountain's Pizza Club,2025-08-31,1,110,26846.0,244.05454545454546,4.340000000000001,5,4,4,13,544,Champions
Delly Belly,2025-08-31,1,145,26610.0,183.51724137931035,4.504137931034483,5,4,4,13,544,Champions
Briyanis Mahal,2025-08-31,1,157,26312.0,167.59235668789808,4.367515923566879,5,4,4,13,544,Champions
Wendo's Pizza,2025-08-31,1,124,25902.0,208.88709677419354,4.281451612903226,5,4,4,13,544,Champions
