Restaurant Name,Revenue,Orders,Weighted_Rating,Last_Order,City,State,Revenue_Share,Recency_Days,Rev_N,Rating_N,Orders_N,Recency_N,Health_Score,Health_Tier
Jagannath Mandir Arna Prasad,470.0,8,4.764583333333333,2025-08-08,Bhubaneswar,Odisha,0.0008865832564850669,24,8.241437964212237e-05,0.9412469719150791,0.0005174070515189592,0.8789473684210526,37.04052755787896,At Risk
The Bon Bon Bakers,37308.0,114,4.668330308529946,2025-08-31,Lucknow,Uttar Pradesh,0.07037584709137208,1,0.008756645571803563,0.8829428758880735,0.008352428117377485,1.0,37.00560066186189,At Risk
Sweet Truth,18073.5,73,4.682695810564663,2025-08-29,Guwahati,Assam,0.03409289890655927,3,0.004227504471156697,0.8916446035669612,0.0053219011013378665,0.9894736842105263,36.91961314998712,At Risk
Polar Bear,55218.44,241,4.64014918994522,2025-08-31,Bengaluru,Karnataka,0.10416115819835167,1,0.01297401071956772,0.865872506957138,0.017739670337792886,1.0,36.84992904425272,At Risk
Angry Sardar Courtyard,23337.0,77,4.668857142857143,2025-08-30,Panaji,Goa,0.044021688205514914,2,0.005466899006146159,0.8832619993573458,0.005617562273634415,0.9947368421052631,36.776255607491535,At Risk
Supreme Upper Crust,125823.32,303,4.59418051330057,2025-08-31,Kochi,Kerala,0.23734648678162268,1,0.029599317533586276,0.8380275416399576,0.022322418508389383,1.0,36.77124732070997,At Risk
Panna Sweets & Restaurant,10811.0,110,4.670729576234162,2025-08-30,Kolkata,West Bengal,0.020393301246510766,2,0.002517406093582659,0.8843962030422783,0.008056766945080937,0.9947368421052631,36.74108609496591,At Risk
La Pino'z Pizza,558496.0,2079,4.221762700726929,2025-08-31,Bengaluru,Karnataka,1.053517451944434,1,0.13148060470585637,0.6124399930843225,0.15359597900805677,1.0,36.70434356092507,At Risk
Mad Over Donuts,181385.05,511,4.543702670386607,2025-08-31,New Delhi,Delhi,0.34215520916320574,1,0.04268241899013799,0.807451203841707,0.03769679946780989,1.0,36.68476886421293,At Risk
Vipul Dudhiya Sweets,22207.0,125,4.659801488833748,2025-08-30,Ahmedabad,Gujarat,0.0418901156952423,2,0.005200818294730162,0.877776647360919,0.009165496341192993,0.9947368421052631,36.672010500493265,At Risk
Hotel Platinum & Restaurant,25810.0,90,4.658555133079847,2025-08-29,Aizawl,Mizoram,0.04868662521250974,3,0.006049215465731783,0.8770216825615513,0.006578461083598196,0.9894736842105263,36.57892515925303,At Risk
Izumi,15380.0,16,4.666666666666667,2025-08-30,Panaji,Goa,0.02901202230795815,2,0.0035932669523965365,0.8819351451165023,0.0011087293961120556,0.9947368421052631,36.5713280405658,At Risk
Bhavyam Veg,42562.14,258,4.629797631367138,2025-08-31,Chennai,Tamil Nadu,0.08028698017909218,1,0.009993836110811737,0.8596021765794855,0.018996230320053216,1.0,36.567743348218094,At Risk
The Belgian Waffle Co.,247683.79,846,4.471756408821224,2025-08-31,Bengaluru,Karnataka,0.4672176619505606,1,0.058293760499150464,0.7638706332397893,0.06245842264764579,1.0,36.497037870112614,At Risk
LeanCrust Pizza- ThinCrust Experts,187431.0,517,4.528817016317017,2025-08-31,Mumbai,Maharashtra,0.3535599709494736,1,0.04410605675755882,0.7984344004106356,0.03814029122625471,1.0,36.48008010714652,At Risk
Gokul Oottupura,47243.0,326,4.619390581717451,2025-08-30,Kochi,Kerala,0.08911670805558303,2,0.011096036605359239,0.8532982331618877,0.024022470249094534,0.9947368421052631,36.470606285105525,At Risk
Noodle Kitchen,7860.0,38,4.675870786516857,2025-08-25,Guwahati,Assam,0.014826690204197078,7,0.0018225351383715064,0.8875104284770585,0.0027348658437430706,0.968421052631579,36.43712210303727,At Risk
BOX8 - Desi Meals,250745.0,1083,4.4463525039310055,2025-08-31,Mumbai,Maharashtra,0.4729921673347832,1,0.059014582565162635,0.748482527637854,0.07997634710621626,1.0,36.41458607386645,At Risk
Ram Dairy,8231.0,71,4.6557869580061455,2025-08-29,Chandigarh,Punjab,0.015526525072614013,3,0.0019098943807921561,0.8753448942668838,0.005174070515189593,0.9894736842105263,36.33496085564725,At Risk
PS4 Veg Restaurant (Perambur Sri Srinivasa),2513.75,23,4.68135922330097,2025-08-21,Chennai,Tamil Nadu,0.004741805661679441,11,0.0005636554893380871,0.8908349821308557,0.001626136447631015,0.9473684210526316,36.253802622978135,At Risk
Pandhal Cake Shop,23316.0,53,4.647851112816578,2025-08-28,Kochi,Kerala,0.04398207491107622,4,0.005461954143367631,0.8705378528161538,0.003843595239855126,0.9842105263157894,36.25359091817432,At Risk
Samridhi At Kochi,14293.0,88,4.640390879478828,2025-08-31,Kochi,Kerala,0.026961562733917158,1,0.0033373114361937165,0.8660189074448628,0.006430630497449922,1.0,36.242672290742625,At Risk
1944 The Hocco kitchen,131938.12,326,4.55884533898305,2025-08-31,Ahmedabad,Gujarat,0.24888112358322884,1,0.03103916738683099,0.816623690688282,0.024022470249094534,1.0,36.22072682110359,At Risk
SMOOR,51441.0,104,4.621227621483375,2025-08-30,Bengaluru,Karnataka,0.09703559424861347,2,0.012084538221752466,0.854410997598503,0.007613275186636115,0.9947368421052631,36.21534538161054,At Risk
Hotel Annalakshmi,25152.0,186,4.624666092201637,2025-08-31,Bengaluru,Karnataka,0.04744540865343065,1,0.005894276432004593,0.8564938093060115,0.013674329218715352,1.0,36.204071920834835,At Risk
Hot Breads,27936.48,190,4.620187199595244,2025-08-31,Chennai,Tamil Nadu,0.05269790513431903,1,0.006549936980078584,0.8537807747270856,0.0139699903910119,1.0,36.15482052883594,At Risk
City Hut Family Dhaba,22067.0,59,4.658211920529801,2025-08-22,Shillong,Meghalaya,0.04162602706565101,10,0.005167852542873315,0.8768137857446314,0.004287086998299948,0.9526315789473684,36.123185203493556,At Risk
Bombay Sweet Shop,8349.0,18,4.694148936170213,2025-08-12,Mumbai,Maharashtra,0.015749114060412392,20,0.0019376798002143575,0.8985821947385562,0.0012565599822603295,0.9,36.06010423381047,At Risk
Sopo,42155.0,73,4.619841269841271,2025-08-29,Panaji,Goa,0.07951897271729362,3,0.0098979669950189,0.8535712319970217,0.0053219011013378665,0.9894736842105263,36.004230503843424,At Risk
NH1 Bowls - Highway To North,146254.0,587,4.514721603563474,2025-08-31,Bengaluru,Karnataka,0.27588584594461063,1,0.03441012272749118,0.7898962760202428,0.043314361741444304,1.0,35.93958042453582,At Risk
Aryaas,1919.0,15,4.667706422018349,2025-08-20,Kochi,Kerala,0.003619900572754986,12,0.00042360991136050906,0.882564964241594,0.0010348141030379187,0.9421052631578948,35.935642237341945,At Risk
Shiv Sagar Veg Restaurant,163340.0,584,4.502949631296088,2025-08-31,Mumbai,Maharashtra,0.30811597683887415,1,0.03843335727196348,0.7827655473713837,0.04309261586222189,1.0,35.88215302926449,At Risk
Dejavu,143846.4,356,4.53531485338888,2025-08-29,Shillong,Meghalaya,0.271344276054582,3,0.03384320598341583,0.8023703859797084,0.026239929041318645,0.9894736842105263,35.84437524165952,At Risk
Bikaner Elite,5231.0,22,4.642461964038728,2025-08-26,Patna,Bihar,0.009867483009943372,6,0.001203485412431107,0.8672734416613941,0.0015522211545568776,0.9736842105263158,35.834229194693364,At Risk
Arabikaas Arabian Restaurant,37966.0,97,4.607553426676493,2025-08-30,Bhubaneswar,Odisha,0.07161706365045117,2,0.008911584605530754,0.846128020842801,0.007095868135117155,0.9947368421052631,35.82958979326023,At Risk
Ss Hyderabad Biryani,92090.0,361,4.551413881748072,2025-08-31,Chennai,Tamil Nadu,0.17371372785044642,1,0.02165614427338856,0.8121221760903374,0.02660950550668933,1.0,35.76210116377945,At Risk
Blue Tokai Coffee Roasters,42289.44,92,4.59772151898734,2025-08-31,Mumbai,Maharashtra,0.07977257325559543,1,0.009929623535587719,0.8401724626542877,0.006726291669746471,1.0,35.73688465444707,At Risk
Alakapuri,12036.0,88,4.613542184651085,2025-08-31,Kochi,Kerala,0.022704076755434607,1,0.002805856422330087,0.8497556379566151,0.006430630497449922,1.0,35.73351600554066,At Risk
Perambur Sri Srinivasa Sweets & Snacks,2182.94,20,4.631428571428571,2025-08-28,Chennai,Tamil Nadu,0.004117783093428749,4,0.0004857597723969142,0.8605900986333666,0.0014043905684086038,0.9842105263157894,35.70732642442294,At Risk
Harilal's,10308.03,40,4.62175593594699,2025-08-29,Patna,Bihar,0.019444525117756947,3,0.002398971920643806,0.8547310176423615,0.0028826964298913444,0.9894736842105263,35.69028017679969,At Risk
Chili's American Grill & Bar,9745.0,27,4.621428571428572,2025-08-29,Lucknow,Uttar Pradesh,0.018382454966908462,3,0.0022663954401583655,0.8545327205773425,0.001921797619927563,0.9894736842105263,35.65981022943042,At Risk
Trelly,90710.0,374,4.556480380499406,2025-08-27,Shillong,Meghalaya,0.17111056850161793,5,0.021331196147942478,0.8151911459260583,0.027570404316653113,0.9789473684210527,35.649863994243034,At Risk
Oberai Bakers & Cafe,106140.0,212,4.546629213483146,2025-08-31,Bhubaneswar,Odisha,0.20021690817728727,1,0.024964492941879475,0.8092239216350054,0.015596126838642916,1.0,35.5872199034982,At Risk
Dou,54542.72,140,4.58639175257732,2025-08-28,Chennai,Tamil Nadu,0.10288651556415573,4,0.012814899163534078,0.8333095948110936,0.010274225737305048,0.9842105263157894,35.55947358877817,At Risk
Roastery Coffee House,61331.97,137,4.573333333333334,2025-08-31,Jaipur,Rajasthan,0.11569339933881793,1,0.014413561526349159,0.8253996165936042,0.010052479858082638,1.0,35.53958055602374,At Risk
6 Ballygunge Place Takeaway,33570.0,169,4.583322503790339,2025-08-31,Kolkata,West Bengal,0.06332468068128447,1,0.007876459997225697,0.8314504347860194,0.012417769236455023,1.0,35.5069268281987,At Risk
McDonald's Gourmet Burger Collection,213623.89,759,4.441317516405856,2025-08-31,Chennai,Tamil Nadu,0.402968859700442,1,0.050273687558656965,0.7454326453431337,0.056027792150195876,1.0,35.4944827056442,At Risk
Ganguram,34425.0,124,4.585268334402395,2025-08-31,Kolkata,West Bengal,0.0649375076691456,1,0.008077786553208597,0.83262909795104,0.009091581048118856,1.0,35.48381602162192,At Risk
Euphoria,4439.1,11,4.63305785123967,2025-08-23,Hyderabad,Telangana,0.008373684540133748,9,0.0010170169917494024,0.8615770150108544,0.0007391529307413703,0.9578947368421052,35.481721557031484,At Risk
Thalairaj Biryani,17293.0,59,4.599261162865403,2025-08-31,New Delhi,Delhi,0.03262060479658779,1,0.0040437204045547645,0.841105083158395,0.004287086998299948,1.0,35.48064305090004,At Risk
Salad Days,25214.0,93,4.598815065594583,2025-08-28,New Delhi,Delhi,0.047562362189392506,4,0.005908875550684054,0.840834865176483,0.006800206962820608,0.9842105263157894,35.43951037973616,At Risk
Takeout - Asian Goodness,71209.0,151,4.575601821730644,2025-08-26,Panaji,Goa,0.13432490874690453,6,0.016739302383939537,0.8267737257774255,0.011087293961120554,0.9736842105263158,35.43137185316591,At Risk
Jiva Veg,34488.0,131,4.586981638126676,2025-08-29,Shillong,Meghalaya,0.06505634755246167,3,0.008092621141544177,0.8336669107893169,0.009608988099637814,0.9894736842105263,35.42062877343929,At Risk
Khullak Cafe,116600.0,532,4.505722402597403,2025-08-31,Imphal,Manipur,0.21994810150246558,1,0.027427505544898333,0.7844451197748796,0.039249020622366765,1.0,35.41543422748965,At Risk
Daya Hari Chatpata,30459.0,117,4.585523646012175,2025-08-30,Agartala,Tripura,0.05745625406229501,2,0.007143913897035288,0.832783749845293,0.008574173996599896,0.9947368421052631,35.38812095222483,At Risk
Starbucks Coffee,304350.0,820,4.383350895679663,2025-08-31,Bengaluru,Karnataka,0.5741098172579365,1,0.071636933481494,0.7103200717062581,0.060536625027718234,1.0,35.38581199100187,At Risk
Palaaram,33241.54,109,4.580909369259032,2025-08-31,Kochi,Kerala,0.0627050910293162,1,0.007799117633976407,0.829988707970402,0.0079828516520068,1.0,35.37128297751126,At Risk
Hangout Cakes & More,33521.61,62,4.595801004107712,2025-08-27,Mumbai,Maharashtra,0.06323340033281359,5,0.007865065620566034,0.8390091341854751,0.004508832877522359,0.9789473684210527,35.36452699214786,At Risk
Cafe Cotinga,70956.0,146,4.560096618357488,2025-08-30,Panaji,Goa,0.133847662866286,2,0.01667972856094109,0.8173816379107492,0.01071771749574987,0.9947368421052631,35.350361050727756,At Risk
ITC Sunfeast Baked Creations,59222.0,118,4.5645664176680745,2025-08-31,Bengaluru,Karnataka,0.11171326301182688,1,0.013916727616024905,0.8200891643366277,0.008648089289674032,1.0,35.33230582053331,At Risk
Sante Spa Cuisine,46460.0,132,4.571144278606965,2025-08-30,Ahmedabad,Gujarat,0.08763969807722598,2,0.010911663864617003,0.8240736233873096,0.009682903392711951,0.9947368421052631,35.29970174511084,At Risk
Chullah,18054.0,133,4.582216678545972,2025-08-31,Shimla,Himachal Pradesh,0.03405611513315191,1,0.004222912812862351,0.8307805946291169,0.009756818685786088,1.0,35.28747072510372,At Risk
Urban Nawab,20708.0,86,4.5862770012706475,2025-08-30,Panaji,Goa,0.03906248101126121,2,0.004847849280205759,0.8332400856063997,0.006282799911301648,0.9947368421052631,35.26414095867889,At Risk
Cocoa Bakery,75661.4,167,4.55400651465798,2025-08-29,Kolkata,West Bengal,0.14272368170684946,3,0.017787707480849783,0.8136926318599178,0.012269938650306747,0.9894736842105263,35.26242287014292,At Risk
Harley's Fine Baking,84975.0,145,4.561394478240524,2025-08-25,Hyderabad,Telangana,0.1602923664251459,7,0.019980777670092275,0.8181678007082791,0.010643802202675733,0.968421052631579,35.24135169842137,At Risk
Sherowali Sweets,4940.0,106,4.598960739030023,2025-08-27,Agartala,Tripura,0.009318555929864322,5,0.0011349637425000854,0.840923105083601,0.007761105772784389,0.9789473684210527,35.21778750187425,At Risk
Mahalaxmi Sweets,4826.0,59,4.602199010445299,2025-08-27,Bhubaneswar,Odisha,0.009103512331482837,5,0.0011081202017023655,0.842884648504636,0.004287086998299948,0.9789473684210527,35.2060796873837,At Risk
Prime Bakery & Sweets,16514.5,61,4.603078233361724,2025-08-24,New Delhi,Delhi,0.031152083381324764,8,0.003860407277265073,0.8434172270646663,0.0044349175844482225,0.9631578947368421,35.17721040208798,At Risk
Viggis,132295.0,360,4.5013494318181815,2025-08-30,Panaji,Goa,0.2495543232270041,2,0.031123201797707216,0.7817962460511101,0.026535590213615193,0.9947368421052631,35.17689567876652,At Risk
Chetak Sweet Point,90357.0,216,4.534496712190187,2025-08-30,Mumbai,Maharashtra,0.170444687885577,2,0.021248075359331993,0.8018748069253387,0.01589178801093946,0.9947368421052631,35.17137140340486,At Risk
The Idli Foundry,5740.0,51,4.594362455726093,2025-08-29,Bengaluru,Karnataka,0.01082763381324316,3,0.0013233394673963653,0.8381377510455397,0.003695764653706852,0.9894736842105263,35.16571824524144,At Risk
Saurashtra Chawana & Sweets,25528.0,159,4.568943682241198,2025-08-31,Ahmedabad,Gujarat,0.048154675258618704,1,0.005982813022705845,0.8227406389736927,0.011678616305713652,1.0,35.15510401623329,At Risk
Full House - Aquilaria Clubhouse,20057.0,53,4.602642007926024,2025-08-23,Agartala,Tripura,0.03783446888366168,9,0.004694558534071412,0.843152988826497,0.003843595239855126,0.9578947368421052,35.138191279375924,At Risk
The Yellow Straw,12024.0,29,4.59425587467363,2025-08-28,Kolkata,West Bengal,0.022681440587183927,4,0.0028030307864566426,0.8380731908727022,0.002069628206075837,0.9842105263157894,35.137814784918746,At Risk
Kwality Walls Ice Cream and More,23248.19,156,4.568610816542948,2025-08-31,Bengaluru,Karnataka,0.04385416169698631,1,0.00544598694598611,0.822539009636075,0.01145687042649124,1.0,35.12314717545152,At Risk
Behrouz Biryani,392247.0,845,4.320726039442281,2025-08-31,Chennai,Tamil Nadu,0.7399140906521235,1,0.09233400984550437,0.6723858287128555,0.062384507354571656,1.0,35.11262540229727,At Risk
Chaayos Chai+Snacks=Relax,64515.0,255,4.538557144192132,2025-08-31,New Delhi,Delhi,0.12169769955773212,1,0.015163068505869917,0.8043343640959955,0.018774484440830803,1.0,35.11204335193128,At Risk
Sodhani Sweets And Namkeen,27618.29,124,4.570627062706272,2025-08-30,Jaipur,Rajasthan,0.052097688269678644,2,0.0064750128901976504,0.823760326162601,0.009091581048118856,0.9947368421052631,35.10101034250094,At Risk
Burger Farm,180803.6,893,4.425645852140675,2025-08-31,Ahmedabad,Gujarat,0.3410583924940925,1,0.042545505158586815,0.7359397258210043,0.06593244142213023,1.0,35.0986608094162,At Risk
The Brownie Studio,35537.0,29,4.579166666666667,2025-08-28,Chennai,Tamil Nadu,0.06703512592704218,4,0.008339628810814424,0.8289330871262846,0.002069628206075837,0.9842105263157894,35.08507559350053,At Risk
Vanakkam Rajnikantham,11489.0,51,4.618681318681319,2025-08-18,Lucknow,Uttar Pradesh,0.02167224475267433,14,0.0026770545204322558,0.852868605726786,0.003695764653706852,0.9315789473684211,35.08284511937922,At Risk
Papputt's Valsa Cafe,8020.0,71,4.580439644705733,2025-08-31,Kochi,Kerala,0.015128505780872846,1,0.0018602102833507625,0.8297041780502492,0.005174070515189593,1.0,35.0690151631453,At Risk
Das Khaman,5650.75,65,4.584671654197838,2025-08-29,Ahmedabad,Gujarat,0.010659277311878707,3,0.001302323800587624,0.8322676661932857,0.00473057875674477,0.9894736842105263,35.00947135506223,At Risk
Snoosh Ice Cream Parlour,7556.0,75,4.576548672566372,2025-08-31,Kochi,Kerala,0.014253240608513119,1,0.0017509523629109201,0.8273472691248922,0.00546973168748614,1.0,34.99985080201292,At Risk
Gangaur Govindam,41370.0,213,4.550213675213676,2025-08-30,Ranchi,Jharkhand,0.07803819004422813,2,0.009713123314964423,0.811395165617923,0.01567004213171705,0.9947368421052631,34.99114916482324,At Risk
9 Hills Bistro,20900.0,72,4.5721763085399445,2025-08-30,Imphal,Manipur,0.03942465970327213,2,0.0048930594541808665,0.8246987629342284,0.0052479858082637295,0.9947368421052631,34.989013403411995,At Risk
ONE PLUS PIZZA HUB,14170.0,68,4.572727272727272,2025-08-31,Ahmedabad,Gujarat,0.026729542009347657,1,0.003308348668490913,0.825032502772026,0.004952324635967181,1.0,34.982355522619756,At Risk
Anardana,12540.0,20,4.609302325581396,2025-08-19,Chandigarh,Punjab,0.023654795821963278,13,0.0029245331290147433,0.847187395027678,0.0014043905684086038,0.9368421052631579,34.929112039990684,At Risk
Sherowali Sweets And Fast Foods,12066.0,157,4.563041825095056,2025-08-31,Agartala,Tripura,0.022760667176061317,1,0.0028129205120136975,0.8191656609770099,0.011530785719565378,1.0,34.91810236418216,At Risk
